model,word,dominant_class,avg_weight,avg_abs_weight,n_occurrences
GradientBoosting,globo,real,-0.0009024009187855528,0.0009024009187855528,4
GradientBoosting,google,real,-0.005516972802650614,0.005516972802650614,1
GradientBoosting,governador,real,-0.017343848114458587,0.017343848114458587,1
GradientBoosting,governo,fake,0.15023134387582882,0.15023134387582882,3
GradientBoosting,grande,fake,0.0018345060620103858,0.0018345060620103858,1
GradientBoosting,grande,real,-0.004844912021606832,0.004844912021606832,4
GradientBoosting,gravar,fake,0.04173375457544786,0.04173375457544786,1
GradientBoosting,graziotim,real,-0.009860406652482012,0.009860406652482012,2
GradientBoosting,grupo,real,-0.07369709789469202,0.07369709789469202,7
GradientBoosting,grátis,real,-0.00013120347434521828,0.00013120347434521828,1
GradientBoosting,guarda,real,-0.004330572569995396,0.004330572569995396,1
GradientBoosting,gurupi,real,-0.07627420888551448,0.07627420888551448,1
GradientBoosting,gás,fake,2.34093608209114e-05,2.34093608209114e-05,1
GradientBoosting,gás,real,-0.020320296749160666,0.020320296749160666,1
GradientBoosting,habea,real,-0.04152935262343768,0.04152935262343768,1
GradientBoosting,hadad,fake,0.00016400156229829423,0.00016400156229829423,1
GradientBoosting,haddad,fake,0.07950826200331781,0.07950826200331781,8
GradientBoosting,hasselman,fake,2.7646281018309882e-05,2.7646281018309882e-05,1
GradientBoosting,haver,real,-0.0001563731195991844,0.0001563731195991844,1
GradientBoosting,hein,real,-0.0016180683215370486,0.0016180683215370486,1
GradientBoosting,hemorragia,real,-0.008701058987596775,0.008701058987596775,1
GradientBoosting,historicamente,real,-0.024387321578870885,0.024387321578870885,1
GradientBoosting,história,real,-0.013603011436140986,0.013603011436140986,1
GradientBoosting,histórico,real,-0.007554868862158129,0.007554868862158129,2
GradientBoosting,histório,fake,7.693005139116084e-32,7.693005139116084e-32,1
GradientBoosting,hj,real,-2.5825237851761566e-06,2.5825237851761566e-06,1
GradientBoosting,hoddod,real,-0.0077692425257724065,0.0077692425257724065,2
GradientBoosting,hoffmann,real,-4.912807714064556e-05,4.912807714064556e-05,1
GradientBoosting,hoje,fake,0.03160690294446688,0.03160690294446688,2
GradientBoosting,hoje,real,-0.05404547893997865,0.05404547893997864,3
GradientBoosting,hora,real,-0.021132504862174512,0.021132504862174512,1
GradientBoosting,humildade,real,-0.0484983568771416,0.0484983568771416,1
GradientBoosting,ibope,real,-0.03579592976240595,0.03579592976240595,2
GradientBoosting,identificação,fake,0.003714612363332106,0.003714612363332106,1
GradientBoosting,idéia,real,-0.0347087701726889,0.0347087701726889,1
GradientBoosting,igreja,fake,0.16154436656120805,0.16154436656120805,2
